2111	JCP Inc.	103	50000
2102	First Corp.	101	65000
2103	Acme Mfg.	105	50000
2123	Carter & Sons	102	40000
2107	Ace International	110	35000
2115	Smithson Corp.	101	20000
2101	Jones Mfg.	106	65000
2112	Zetacorp	108	50000
2121	QMA Assoc.	103	45000
2114	Orion Corp	102	20000
2124	Peter Brothers	107	40000
2108	Holm & Landis	109	55000
2117	J.P. Sinclair	106	35000
2122	Three-Way Lines	105	30000
2120	Rico Enterprises	102	50000
2106	Fred Lewis Corp.	102	65000
2119	Solomon Inc.	109	25000
2118	Midwest Systems	108	60000
2113	Ian & Schmidt	104	20000
2109	Chen Associates	103	25000
2105	AAA Investments	101	45000
